anio;periodo;mes;area;ciudad;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos
2007;6;Junio;1;010150;69.6709;50.6597;5.6692;94.3308;67.7679;25.9808;60.5264;13.9054;4.9847;14.9143;32.5062;38.3322;8.8601;8.4198;5.0324;19.5232;79.0481;12.9154;3.4991
2007;6;Junio;1;070150;69.5793;47.9878;6.39;93.61;44.5163;47.4584;44.3059;24.6281;5.8118;18.088;24.5242;19.8952;18.1669;8.9962;4.7061;8.7018;73.8733;23.7168;7.3746
2007;6;Junio;1;090150;70.2874;50.1103;8.9783;91.0217;53.3911;38.1355;51.0419;18.6045;5.0283;15.6068;32.5023;28.153;17.665;15.9064;6.1991;13.7591;75.6331;19.1637;6.132
2007;6;Junio;1;170150;68.7131;50.6626;5.9597;94.0403;68.125;22.7678;59.0411;15.0388;4.7446;14.0037;32.6926;47.4736;11.6609;9.6217;4.873;14.9477;77.9396;11.7764;3.4935
2007;6;Junio;1;180150;67.9143;50.2609;4.2956;95.7044;68.6879;26.6744;56.7384;13.076;7.5043;16.9191;33.5418;32.4586;9.4014;8.6598;5.4683;18.4217;81.4531;14.2329;4.2952
2007;9;Septiembre;1;010150;68.232;49.9255;6.1029;93.8971;68.7815;23.9942;59.2752;10.5721;6.6604;17.3894;29.1623;42.0033;10.334;10.518;4.1836;19.4452;81.6876;13.0982;3.2374
2007;9;Septiembre;1;070150;69.7897;48.6161;5.8995;94.1005;51.1152;41.2311;49.5217;18.7006;6.192;17.7242;44.1001;32.9766;19.1708;9.7374;4.2608;10.5598;71.8163;23.5325;6.4243
2007;9;Septiembre;1;090150;70.8116;50.3969;7.2625;92.7375;53.5576;37.7761;55.0949;18.155;5.9964;12.2605;33.6472;25.7164;16.9091;13.859;5.4464;13.126;75.5224;18.8787;4.8918
2007;9;Septiembre;1;170150;68.7853;51.0765;7.4981;92.5019;67.0301;24.9074;60.256;11.3049;4.8954;14.6936;29.053;22.3149;10.914;13.3453;3.3673;15.5925;81.2924;10.2167;2.9324
2007;9;Septiembre;1;180150;70.3286;51.36;3.7131;96.2869;67.2584;27.7336;56.9451;13.5203;9.3014;15.118;35.2223;38.9015;9.1025;7.772;3.9651;21.4175;87.0731;15.2875;3.1225
2007;12;Diciembre;1;010150;65.6878;47.5955;4.9041;95.0959;70.5551;21.8064;61.5466;12.0677;5.2571;14.6785;27.6388;39.9602;9.6874;9.7804;4.386;17.819;82.7763;10.0679;2.9404
2007;12;Diciembre;1;070150;68.675;47.1246;3.5437;96.4563;48.49;38.5471;50.1929;18.1337;5.3336;21.6964;37.7463;23.2485;16.7008;6.2559;4.9622;8.0754;74.6859;26.2411;7.5681
2007;12;Diciembre;1;090150;67.7038;47.0472;7.0435;92.9565;50.0394;37.2847;52.4271;18.2674;3.9995;17.0981;34.0071;27.231;17.9037;11.7288;3.1053;12.7676;76.1821;22.5292;5.618
2007;12;Diciembre;1;170150;67.3362;49.8371;6.0896;93.9104;68.4083;20.8556;65.1241;10.0735;5.731;11.0665;25.1231;41.3352;10.324;10.3672;1.9909;14.9504;79.0573;10.1417;3.3159
2007;12;Diciembre;1;180150;68.2188;51.045;6.5445;93.4555;65.3164;25.9321;52.0465;13.761;5.9844;20.211;36.9093;42.1887;10.0204;10.9127;2.5735;21.7249;82.5401;17.8446;6.1007
2007;12;Diciembre;2;070150;67.8779;49.0622;7.9455;92.0545;40.4771;28.9503;31.3503;28.6069;1.7016;30.3957;66.8666;32.2192;21.3927;14.7843;4.1496;0.9242;64.8734;36.8714;5.3657
2007;12;Diciembre;2;090150;48.5714;35.4167;0.0;100.0;23.5294;41.1765;11.7647;5.8824;5.8824;76.4706;100.0;63.4846;18.1818;0.0;0.0;0.0;82.6087;71.7391;41.3043
2007;12;Diciembre;2;170150;65.625;47.7273;14.2857;85.7143;16.6667;55.5556;33.3333;33.3333;4.7619;14.2857;20.0;-1.1249;33.3333;33.3333;0.0;0.0;50.0;31.8182;15.9091
2007;12;Diciembre;2;180150;76.3158;58.0;0.0;100.0;34.4828;65.5172;31.0345;17.2414;17.2414;34.4828;53.2468;-3.0594;11.1111;0.0;0.0;27.5862;88.8889;32.6087;4.3478
2008;3;Marzo;1;010150;67.6461;50.4908;4.9803;95.0197;60.9544;30.4497;57.0042;9.1797;8.2604;19.5415;30.2561;35.7841;10.4326;9.4848;5.6378;20.1985;80.1223;10.4173;2.2909
2008;3;Marzo;1;070150;70.1024;48.9793;5.1138;94.8862;47.2182;44.5182;49.2518;17.6421;6.636;20.2004;41.1885;26.8293;18.5168;12.9673;9.4755;8.4053;76.9118;19.6057;5.148
2008;3;Marzo;1;090150;70.0471;49.068;7.9944;92.0056;49.5711;42.0291;49.1629;16.9441;6.5195;17.7511;42.1417;28.8987;16.4136;15.141;7.4741;13.1808;75.6495;20.7723;4.7608
2008;3;Marzo;1;170150;69.1487;49.7923;6.4968;93.5032;69.2657;22.057;60.633;7.841;5.4933;15.3394;29.4658;33.7544;10.41;11.4587;5.0081;13.5348;80.3428;9.933;3.0892
2008;3;Marzo;1;180150;72.1084;53.7627;4.4558;95.5442;63.6207;30.1397;46.0687;16.1422;8.6324;23.0979;31.634;37.9088;7.9798;9.1414;7.8839;18.6114;81.342;19.7131;5.3723
2008;6;Junio;1;010150;66.4442;50.2858;4.6343;95.3657;67.2554;26.0462;62.7806;7.7531;5.9639;18.0868;25.8861;39.3894;9.3355;7.8598;4.2292;21.3421;78.8854;7.8792;3.1561
2008;6;Junio;1;070150;71.787;49.5076;6.5132;93.4868;43.9112;47.7606;51.8355;16.8494;6.6949;17.8673;40.6815;24.9077;16.1708;11.2412;5.5924;9.7616;76.9569;19.5637;3.3781
2008;6;Junio;1;090150;70.8009;50.1345;8.7043;91.2957;51.7787;38.7477;52.5588;16.2874;5.5763;16.3672;40.4753;37.7041;19.0767;17.1845;4.0562;14.1733;75.6376;19.9586;5.0824
2008;6;Junio;1;170150;72.3118;52.3391;5.9075;94.0925;71.0443;20.2407;63.3384;9.6734;6.2818;13.5574;33.6762;35.3245;10.5575;10.9579;7.0361;13.3386;80.6044;8.5171;1.849
2008;6;Junio;1;180150;69.111;51.6291;4.2328;95.7672;71.2923;24.0018;51.6392;12.8469;8.7937;20.6408;36.0347;30.1135;7.697;8.2033;5.9914;18.9838;82.4969;14.8172;3.9866
2008;6;Junio;2;070150;57.1429;48.0;0.0;100.0;83.3333;16.6667;41.6667;16.6667;0.0;41.6667;100.0;78.7443;20.0;0.0;0.0;0.0;33.3333;8.6957;0.0
