p_año;p_ciudad;provincia;canton;parroquia;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos;pobreza_multidimensional;pobreza_extrema_multidimensional;necesidades_basicas_insatisfechas
2007;10150;AZUAY;CUENCA;CUENCA;67,86356667;49,39356667;5,558733333;94,44126667;69,03483333;23,92713333;60,4494;12,18173333;5,634066667;15,66073333;29,7691;40,09856667;9,627166667;9,572733333;4,534;18,92913333;81,17066667;12,02716667;3,225633333;11,9836;0,6598;8,4357
2007;70150;EL ORO;MACHALA;MACHALA;69,33316667;47,94386667;5,3588;94,6412;47,89926667;42,24306667;47,65973333;20,6804;5,7122;19,3298;35,52966667;25,12703333;18,09606667;8,4957;4,630766667;8,9863;73,2986;24,67566667;7,0853;34,2322;10,0497;34,9903
2007;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;69,5753;49,16996667;7,754666667;92,24533333;52,3019;37,73613333;52,8155;18,3304;5,009866667;15,0456;33,32966667;26,97003333;17,4931;13,82256667;4,912333333;13,20436667;75,7894;20,2512;5,591266667;27,2071;7,8995;33,7344
2007;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;68,2762;50,5229;6,525066667;93,47493333;67,801;22,87946667;61,43773333;12,16536667;5,1226;13,25823333;28,9316;36,99603333;10,9923;11,13613333;3,407133333;15,14806667;79,3902;10,73786667;3,2625;9,6647;1,4425;0,1811
2007;180150;TUNGURAHUA;AMBATO;AMBATO;68,9356;50,98596667;4,747566667;95,25243333;66,56756667;27,44763333;54,91106667;13,50746667;7,774733333;17,64173333;35,2269;37,42356667;9,522433333;9,044566667;3,967133333;20,6202;83,7738;15,988;4,482433333;13,3385;2,4116;14,4037
2008;10150;AZUAY;CUENCA;CUENCA;66,44685;49,6769;4,943175;95,056825;65,9751;26,3507;62,2313;7,8146;6,485375;17,937025;27,8449;36,5308;9,694375;8,663575;3,4517;20,92245;81,29665;9,3739;2,9434;9,4956;1,7502;8,4357
2008;70150;EL ORO;MACHALA;MACHALA;71,693375;50,06255;6,99735;93,00265;47,670575;45,13535;51,22695;16,42355;6,291;18,675025;43,0874;31,1424;16,409125;12,964;6,8556;8,7705;74,966775;18,7248;3,807125;35,2313;7,579;34,9903
2008;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;71,034275;50,323225;8,688325;91,311675;52,223825;39,960375;52,8055;16,01435;5,7046;16,1693;40,353025;31,089725;17,5048;16,91775;4,8347;13,5732;75,6121;16,853825;4,2078;27,475;7,9826;33,7344
2008;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;70,115925;51,451225;6,13425;93,86575;69,804325;21,60035;62,34895;9,081425;6,060475;14,6117;30,32295;35,6939;9,144025;10,604525;6,006075;14,17115;80,527575;9,273275;2,249325;12,4831;1,3686;16,53
2008;180150;TUNGURAHUA;AMBATO;AMBATO;70,5269;52,94125;3,98715;96,01285;66,36165;28,045375;50,494025;12,692075;8,9153;22,516025;36,7396;30,149125;8,71185;8,4155;6,362925;20,130875;82,21285;17,096625;4,14175;14,5275;0,7072;14,4037
